"automated_textmining","coexpression","combined_score","database_annotated","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.444","0.074","0.471","0.0","0.054","0.0","0.0","interacts with","JARID2 (interacts with) KDM7A","0.0","9606.ENSP00000341280","9606.ENSP00000380692","0.0","false","interacts with","JARID2 (interacts with) KDM7A"
"0.538","0.053","0.56","0.0","0.075","0.0","0.0","interacts with","JARID2 (interacts with) KDM1A","0.0","9606.ENSP00000341280","9606.ENSP00000383042","0.0","false","interacts with","JARID2 (interacts with) KDM1A"
"0.228","0.393","0.511","0.0","0.0","0.0","0.0","interacts with","KDM1A (interacts with) PDK4","0.0","9606.ENSP00000383042","9606.ENSP00000005178","0.0","false","interacts with","KDM1A (interacts with) PDK4"
"0.41","0.0","0.41","0.0","0.0","0.0","0.0","interacts with","KDM1A (interacts with) KMT2E","0.0","9606.ENSP00000383042","9606.ENSP00000312379","0.0","false","interacts with","KDM1A (interacts with) KMT2E"
"0.617","0.055","0.637","0.0","0.077","0.0","0.0","interacts with","KDM1A (interacts with) KDM7A","0.0","9606.ENSP00000383042","9606.ENSP00000380692","0.0","false","interacts with","KDM1A (interacts with) KDM7A"
"0.113","0.393","0.438","0.0","0.0","0.0","0.0","interacts with","KDM1A (interacts with) PDK2","0.0","9606.ENSP00000383042","9606.ENSP00000420927","0.0","false","interacts with","KDM1A (interacts with) PDK2"
"0.421","0.062","0.465","0.0","0.094","0.0","0.0","interacts with","KMT2E (interacts with) MSL3","0.0","9606.ENSP00000312379","9606.ENSP00000312244","0.0","false","interacts with","KMT2E (interacts with) MSL3"
"0.123","0.629","0.661","0.0","0.0","0.0","0.0","interacts with","KRIT1 (interacts with) VPS50","0.0","9606.ENSP00000378015","9606.ENSP00000307666","0.0","false","interacts with","KRIT1 (interacts with) VPS50"
"0.512","0.114","0.549","0.0","0.0","0.0","0.0","interacts with","LAMP2 (interacts with) M6PR","0.0","9606.ENSP00000408411","9606.ENSP00000000412","0.0","false","interacts with","LAMP2 (interacts with) M6PR"
"0.444","0.0","0.444","0.0","0.0","0.0","0.0","interacts with","LAMP2 (interacts with) SELE","0.0","9606.ENSP00000408411","9606.ENSP00000331736","0.0","false","interacts with","LAMP2 (interacts with) SELE"
"0.069","0.058","0.427","0.4","0.0","0.0","0.0","interacts with","LIG3 (interacts with) POLR2J","0.0","9606.ENSP00000367787","9606.ENSP00000292614","0.0","false","interacts with","LIG3 (interacts with) POLR2J"
"0.637","0.049","0.728","0.0","0.275","0.0","0.0","interacts with","LIG3 (interacts with) RAD52","0.0","9606.ENSP00000367787","9606.ENSP00000351284","0.0","false","interacts with","LIG3 (interacts with) RAD52"
